filename,wordID,IPUID,nth,len
sample_mp4_mono,000557B,000557B,1,3
sample_mp4_mono,000737B,000557B,2,3
sample_mp4_mono,001107B,000557B,3,3
sample_mp4_mono,001577B,001577B,1,4
sample_mp4_mono,002027B,001577B,2,4
sample_mp4_mono,002157B,001577B,3,4
sample_mp4_mono,002887B,001577B,4,4
sample_mp4_mono,003367B,003367B,1,3
sample_mp4_mono,003777B,003367B,2,3
sample_mp4_mono,003927B,003367B,3,3
sample_mp4_mono,004817B,004817B,1,2
sample_mp4_mono,005147B,004817B,2,2
sample_mp4_mono,005657B,005657B,1,8
sample_mp4_mono,006007B,005657B,2,8
sample_mp4_mono,006147B,005657B,3,8
sample_mp4_mono,006767B,005657B,4,8
sample_mp4_mono,006897B,005657B,5,8
sample_mp4_mono,007237B,005657B,6,8
sample_mp4_mono,007317B,005657B,7,8
sample_mp4_mono,007447B,005657B,8,8
sample_mp4_mono,008373A,008373A,1,5
sample_mp4_mono,008563A,008373A,2,5
sample_mp4_mono,008863A,008373A,3,5
sample_mp4_mono,009033A,008373A,4,5
sample_mp4_mono,009113A,008373A,5,5
sample_mp4_mono,009760A,009760A,1,4
sample_mp4_mono,010020A,009760A,2,4
sample_mp4_mono,010200A,009760A,3,4
sample_mp4_mono,010600A,009760A,4,4
sample_mp4_mono,011404B,011404B,1,1
sample_mp4_mono,012292B,012292B,1,7
sample_mp4_mono,012672B,012292B,2,7
sample_mp4_mono,012792B,012292B,3,7
sample_mp4_mono,013202B,012292B,4,7
sample_mp4_mono,013282B,012292B,5,7
sample_mp4_mono,013402B,012292B,6,7
sample_mp4_mono,013572B,012292B,7,7
